Id1,Iq1,Id3,Iq3,psi_d1,psi_q1,psi_d3,psi_q3,T_fem,P_core
40,80,20,-20,8.67037550e-02,2.23640970e-02,2.67845500e-03,-3.02039450e-03,45.883144,413.3624
40,80,20,0,8.68451010e-02,2.19086580e-02,3.47543810e-03,8.32142570e-05,46.082729,407.7968
40,80,20,20,8.67964120e-02,2.16833910e-02,4.39049010e-03,3.21632400e-03,46.801493,429.0251
40,80,20,40,8.65864170e-02,2.17043230e-02,5.35221740e-03,6.35541700e-03,48.167019,479.4966
40,80,40,-20,8.64113200e-02,2.22358640e-02,5.92695300e-03,-4.02310110e-03,46.235598,459.2583
40,80,40,0,8.66858760e-02,2.18310300e-02,6.80212290e-03,-9.55393680e-04,46.636642,455.6789
40,80,40,20,8.66727930e-02,2.16247490e-02,7.72109090e-03,2.16647490e-03,47.541051,478.1875
40,120,-40,-20,8.71500490e-02,2.67288320e-02,-6.71807730e-03,5.29940890e-04,74.146171,467.2381
40,120,-40,0,8.75108650e-02,2.63191110e-02,-5.81921070e-03,3.16700180e-03,73.995954,474.1454
40,120,-40,20,8.77222640e-02,2.61211620e-02,-4.80012720e-03,5.81579240e-03,74.582225,498.4298
40,120,-20,-40,8.81537890e-02,2.71296600e-02,-4.36813770e-03,-2.77448680e-03,74.305451,443.9073
40,120,-20,-20,8.83032210e-02,2.64450060e-02,-3.76106480e-03,-2.15588630e-04,73.564033,435.7591
40,120,-20,0,8.84240730e-02,2.59724330e-02,-2.93641730e-03,2.37595190e-03,73.333876,442.3254
40,120,-20,20,8.84474790e-02,2.57176580e-02,-1.96789620e-03,4.99089540e-03,73.807145,465.7810
40,120,-20,40,8.83676320e-02,2.56835310e-02,-9.10074210e-04,7.60126880e-03,75.088989,509.9706
40,120,0,-40,8.89830770e-02,2.68761790e-02,-1.38159750e-03,-3.71218780e-03,73.672835,439.6496
40,120,0,-20,8.90909360e-02,2.62218820e-02,-7.56971360e-04,-1.15272420e-03,73.092959,427.4842
40,120,0,0,8.90849380e-02,2.57601720e-02,3.15741780e-05,1.44141170e-03,72.956651,432.0287
40,120,0,20,8.89998050e-02,2.54986090e-02,9.70289310e-04,4.04949670e-03,73.443647,451.9517
40,120,0,40,8.88198290e-02,2.54384380e-02,1.99200300e-03,6.65758540e-03,74.721155,494.8255
40,120,20,-40,8.91810250e-02,2.66735900e-02,1.43659540e-03,-4.74450570e-03,73.408707,458.2605
40,120,20,-20,8.93940660e-02,2.60759290e-02,2.15549700e-03,-2.20287780e-03,72.977775,443.2213
40,120,20,0,8.93858120e-02,2.56533960e-02,2.96230320e-03,3.94525110e-04,73.005324,445.7253
40,120,20,20,8.92819330e-02,2.54173920e-02,3.90089610e-03,3.01350280e-03,73.599105,465.7242
40,120,20,40,8.90796410e-02,2.53598730e-02,4.91207050e-03,5.63298220e-03,74.906042,504.6972
40,120,40,-20,8.92856130e-02,2.60490540e-02,4.96213300e-03,-3.25142730e-03,73.373557,479.6234
40,120,40,0,8.93389520e-02,2.56575440e-02,5.81401310e-03,-6.78494070e-04,73.567517,481.7132
40,120,40,20,8.92319020e-02,2.54344250e-02,6.74257210e-03,1.93257640e-03,74.319591,504.1812
40,160,-40,-20,8.88450930e-02,2.95388300e-02,-6.09096460e-03,1.09811760e-03,101.892210,493.4253
40,160,-40,0,8.90929680e-02,2.92147660e-02,-5.18971310e-03,3.40099280e-03,101.634900,502.0471
40,160,-40,20,8.92265840e-02,2.90315630e-02,-4.20510640e-03,5.70384600e-03,102.048260,525.3499
40,160,-20,-40,8.96547780e-02,2.98472840e-02,-4.12933040e-03,-1.88510470e-03,101.917160,468.8193
40,160,-20,-20,8.97719200e-02,2.93429360e-02,-3.43737670e-03,3.48600010e-04,101.061940,465.0847
40,160,-20,0,8.98317030e-02,2.89822380e-02,-2.61072940e-03,2.60304130e-03,100.713000,473.0892
40,160,-20,20,8.98133920e-02,2.87668870e-02,-1.68605120e-03,4.87249070e-03,101.034750,495.4616
40,160,-20,40,8.97253740e-02,2.86966900e-02,-6.87068840e-04,7.14108960e-03,102.131650,534.3942
40,160,0,-40,9.04532140e-02,2.96959650e-02,-1.40836810e-03,-2.77161650e-03,101.264480,462.6318
40,160,0,-20,9.04545390e-02,2.92066730e-02,-7.59465740e-04,-5.40505130e-04,100.519450,457.8580
40,160,0,0,9.04179850e-02,2.88510150e-02,2.99032160e-05,1.70076530e-03,100.241970,464.4833
40,160,0,20,9.03138820e-02,2.86326880e-02,9.19631630e-04,3.95810500e-03,100.577020,482.8031
40,160,0,40,9.01409500e-02,2.85512530e-02,1.88060610e-03,6.22148970e-03,101.659780,520.0859
40,160,20,-40,9.07796980e-02,2.95833340e-02,1.15784760e-03,-3.75739070e-03,100.997720,477.3400
40,160,20,-20,9.07947080e-02,2.91265400e-02,1.83412470e-03,-1.53197680e-03,100.400040,469.4653
40,160,20,0,9.07294370e-02,2.87967590e-02,2.61701000e-03,7.13736020e-04,100.269530,476.7377
40,160,20,20,9.06090060e-02,2.85953810e-02,3.50446380e-03,2.97198490e-03,100.690910,496.1279
40,160,20,40,9.04082520e-02,2.85168580e-02,4.44883860e-03,5.23677580e-03,101.793080,530.3392
40,160,40,-20,9.08235520e-02,2.91287380e-02,4.32762260e-03,-2.53753960e-03,100.798740,499.2291
40,160,40,0,9.07657160e-02,2.88173390e-02,5.11874390e-03,-3.03322830e-04,100.826710,505.5544
40,160,40,20,9.06305440e-02,2.86244270e-02,5.99119440e-03,1.94763920e-03,101.373920,527.7467
40,200,-40,-20,8.98453890e-02,3.23023370e-02,-5.53888760e-03,1.47602090e-03,129.169700,517.9546
40,200,-40,0,9.00039620e-02,3.20551700e-02,-4.68698940e-03,3.52356910e-03,128.840550,528.3921
40,200,-40,20,9.00772370e-02,3.19021290e-02,-3.77855510e-03,5.56883590e-03,129.146740,550.8492
40,200,-20,-40,9.05200890e-02,3.25397720e-02,-3.84173330e-03,-1.24549060e-03,129.162160,493.7666
40,200,-20,-20,9.06018720e-02,3.21734930e-02,-3.13683650e-03,7.47969180e-04,128.257420,492.9600
40,200,-20,0,9.06283220e-02,3.19042160e-02,-2.34498430e-03,2.75244620e-03,127.883370,502.3287
40,200,-20,20,9.05911200e-02,3.17326600e-02,-1.49079060e-03,4.76991610e-03,128.149260,523.7119
40,200,-20,40,9.04961050e-02,3.16573150e-02,-5.83885310e-04,6.78947640e-03,129.128740,559.1219
40,200,0,-40,9.12328410e-02,3.24472070e-02,-1.36871380e-03,-2.06686720e-03,128.573560,487.7714
40,200,0,-20,9.11999000e-02,3.20922240e-02,-7.18841620e-04,-7.78134530e-05,127.737650,487.0629
40,200,0,0,9.11502080e-02,3.18266220e-02,3.63689580e-05,1.91246750e-03,127.409030,494.4524
40,200,0,20,9.10501480e-02,3.16529490e-02,8.60768690e-04,3.91476350e-03,127.701950,512.4347
40,200,0,40,9.08905550e-02,3.15716960e-02,1.73415580e-03,5.92558870e-03,128.689510,545.6803
40,200,20,-40,9.16141740e-02,3.23793330e-02,9.86373120e-04,-2.97820660e-03,128.360670,498.4467
40,200,20,-20,9.15484750e-02,3.20464940e-02,1.62410890e-03,-9.84471620e-04,127.672560,497.5039
40,200,20,0,9.14634650e-02,3.17994400e-02,2.36356850e-03,1.01062090e-03,127.445140,506.3665
40,200,20,20,9.13440880e-02,3.16366080e-02,3.18039980e-03,3.00939240e-03,127.795740,524.9082
